연번,구분,관리기관(연락처),구,읍면동,주차장명,지번, 일반 , 장애인 , 친환경_경차,비고
25,노외,의창구 경제교통과(055-212-4434),의창구,팔용동,서상1지구, 의창구 팔용동 160-1,13,,,
26,노외,의창구 경제교통과(055-212-4434),의창구,팔용동,서상2지구, 의창구 팔용동 151-2,11,,,
27,노외,의창구 경제교통과(055-212-4434),의창구,팔용동,창원공고 뒤, 의창구 팔용동 33-6,57,1,,
28,노외,창원시설공단(070-4317-0137),의창구,팔용동,창원종합버스터미널,의창구 팔용동 35-8 외,432,21,54," 무인운영, 직영 "
29,노외,창원시설공단(070-4317-0137),의창구,팔용동,팔용주차장 노외," 의창구 팔용동 165-5, 8",74,2,,
30,노외,창원시설공단(070-4317-0137),의창구,팔용동,팔용파출소옆 노외, 의창구 팔용동 33-2.3,32,2,," 무인운영, 직영 "
31,노외,창원시설공단(070-4317-0137),성산구,내동,내동파출소 옆 노외," 성산구 내동 456-22, 23",43,1,," 무인운영, 직영 "
32,노외,창원시설공단(070-4317-0137),성산구,대방동,대방황토방앞,성산구 대방동 361-2,178,3,," 유무인병행, 직영 "
33,노외,창원시설공단(070-4317-0137),성산구,상남동,경창상가앞 노외, 성산구 상남동 74-5,80,2,,
34,노외,창원시설공단(070-4317-0137),성산구,상남동,롯데메디컬 앞 노외, 성산구 상남동 13-1,95,2,,
35,노외,창원시설공단(070-4317-0137),성산구,상남동,삼원회관 노외, 성산구 상남동 12-2,28,1,,
36,노외,창원시설공단(070-4317-0137),성산구,상남동,상남 제1노외, 성산구 상남동 38-2. 5,53,2,," 무인운영, 직영 "
37,노외,창원시설공단(070-4317-0137),성산구,상남동,상남 제2 노외, 성산구 상남동 30-2.9,34,2,," 무인운영, 직영 "
38,노외, 캠코(051-794-4296) ,성산구,상남동,상남동 복합공영주차빌딩, 성산구 상남동 76-2,346,11,61,
39,노외,창원시설공단(070-4317-0137),성산구,상남동,시민생활체육관 뒤,성산구 상남동 43-1,339,6,," 유무인병행, 직영 "
40,노외,성산구 경제교통과(055-272-4437),성산구,상남동,시청 옆 공영주차장,성산구 용호동 73-41,9,,,
41,노외,창원시설공단(070-4317-0137),성산구,용호동,명동 노외,성산구 용호동 73-57,20,1,,
42,노외,창원시설공단(070-4317-0137),성산구,용호동,용호기계식 , 의창구 용호동 73-13,71,2,," 유인운영, 직영 "
43,노외,창원시설공단(070-4317-0137),성산구,중앙동,중앙삼각지,성산구 중앙동 72-1 ~ 3,23,,," 유인운영, 직영 "
44,노외,창원시설공단(070-4317-0137),성산구,중앙동,중앙입체주차장,성산구 원이대로 566,189,4,," 유무인병행, 직영 "
45,노외,마산합포구 경제교통과(055-220-4436),마산합포구,부림동,부림동,마산합포구 부림동 106-95,28,2,, 장군동 노상주차장공동 위탁 
46,노외,마산합포구 경제교통과(055-220-4436),마산합포구,산호동,어린교,마산합포구 산호동 2,135,2,,
47,노외,마산합포구 경제교통과(055-220-4436),마산합포구,상남동,회산교,마산합포구 상남동 317-1(회원천),18,,,
48,노외,마산합포구 경제교통과(055-220-4436),마산합포구,오동동,오동동1,마산합포구 오동동 88-3,85,4,,
49,노외,마산합포구 경제교통과(055-220-4436),마산합포구,오동동,오동동2,마산합포구 오동동 60-27,51,3,,
50,노외,마산합포구 경제교통과(055-220-4436),마산합포구,자산동,자산동,마산합포구 자산동 20,34,,,
51,노외,마산합포구 경제교통과(055-220-4436),마산합포구,중성동,중성동1,마산합포구 중성동 171-1,29,2,,
52,노외,마산합포구 경제교통과(055-220-4436),마산합포구,중성동,중성동2,마산합포구 중성동 62-15,14,1,,
53,노외,마산합포구 경제교통과(055-220-4436),마산합포구,합포동,합포동,마산합포구 산호동 338-22,55,2,,
54,노외,마산회원구 경제교통과(055-230-4445),마산회원구,내서읍,내서화물공영주차장, 마산회원구 내서읍 호계리 790-256 일원,44,,, 무상사용 허가조건/(비영리) 
55,노외,마산회원구 경제교통과(055-230-4445),마산회원구,내서읍,삼계 공영주차장, 마산회원구 내서읍 삼계리 26-1,95,2,,
56,노외,마산회원구 경제교통과(055-230-4445),마산회원구,석전동,석전동 공영주차장, 마산회원구 석전동 248-20,18,1,6,
57,노외,마산회원구 경제교통과(055-230-4445),마산회원구,회성동,회성동 노외주차장, 마산회원구 회성동 223일원 외,66,1,,
58,노외,마산회원구 경제교통과(055-230-4445),마산회원구,회원1동,회원 공영주차장, 마산회원구 회원동 30-60,30,,,
59,노외, 캠코(051-794-4296) ,진해구,석동,석동 복합공영주차빌딩,진해구 냉천로 73 (석동 140),109,7,25,
60,노외,진해구 경제교통과(055-548-4436),진해구,여좌동,중앙로,진해구 여좌동 761-44,24,1,,
61,노외, 캠코(051-794-4296) ,진해구,용원동,용원동 복합공영주차빌딩,"진해구 용원동 1219-1,2,3",232,6,38,
62,노외,진해구 경제교통과(055-548-4436),진해구,웅천동,명동,진해구 명동 574,170,4,,
63,노외,진해구 경제교통과(055-548-4436),진해구,충무동,충무동,진해구 인사동 2-1,39,2,,
